classification_type,glcm_feature,additional_feature,criterion,max_depth,min_samples_leaf,min_samples_split,max_no_of_rois
early_vs_late_stage,contrast,,entropy,5,1,2,50
ptc_vs_mibc,contrast,,entropy,4,7,18,50
cancer_invasion,contrast,average_best_absolute_distance_results,entropy,4,5,14,50
cancer_stage,contrast,average_best_absolute_distance_results,entropy,4,1,6,50
early_vs_late_stage,contrast,average_best_absolute_distance_results,entropy,3,11,2,50
ptc_vs_mibc,contrast,average_best_absolute_distance_results,entropy,1,9,2,50
cancer_invasion,contrast,average_generation_absolute_distance_results,gini,8,1,6,50
cancer_stage,contrast,average_generation_absolute_distance_results,entropy,7,1,2,50
early_vs_late_stage,contrast,average_generation_absolute_distance_results,entropy,8,3,2,50
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,entropy,3,7,18,50
cancer_invasion,contrast,average_mean_absolute_distance_results,entropy,5,3,2,50
cancer_stage,contrast,average_mean_absolute_distance_results,gini,9,1,4,50
early_vs_late_stage,contrast,average_mean_absolute_distance_results,entropy,9,1,8,50
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,entropy,2,19,2,50
