,angle,distance,homogeneity
17,4.71238898038469,3,[0.91266375]
18,4.71238898038469,4,[0.91151252]
19,4.71238898038469,5,[0.90824652]
0,0.0,1,[0.84351647]
1,0.0,2,[0.7864526]
2,0.0,3,[0.78804445]
3,0.0,4,[0.80303143]
4,0.0,5,[0.80344376]
5,0.7853981633974483,1,[0.88223157]
6,0.7853981633974483,2,[0.88223157]
7,0.7853981633974483,3,[0.84224777]
8,0.7853981633974483,4,[0.81741041]
9,0.7853981633974483,5,[0.79978857]
10,1.5707963267948966,1,[0.88038319]
11,1.5707963267948966,2,[0.81230893]
12,1.5707963267948966,3,[0.79015169]
13,1.5707963267948966,4,[0.78438352]
14,1.5707963267948966,5,[0.78105584]
15,4.71238898038469,1,[0.88038319]
16,4.71238898038469,2,[0.81230893]
17,4.71238898038469,3,[0.79015169]
18,4.71238898038469,4,[0.78438352]
19,4.71238898038469,5,[0.78105584]
0,0.0,1,[0.44680482]
1,0.0,2,[0.36507197]
2,0.0,3,[0.34098032]
3,0.0,4,[0.3252126]
4,0.0,5,[0.31631265]
5,0.7853981633974483,1,[0.39376666]
6,0.7853981633974483,2,[0.39376666]
7,0.7853981633974483,3,[0.34628517]
8,0.7853981633974483,4,[0.31964696]
9,0.7853981633974483,5,[0.29683264]
10,1.5707963267948966,1,[0.43553397]
11,1.5707963267948966,2,[0.35656579]
12,1.5707963267948966,3,[0.34534328]
13,1.5707963267948966,4,[0.33414183]
14,1.5707963267948966,5,[0.3007918]
15,4.71238898038469,1,[0.43553397]
16,4.71238898038469,2,[0.35656579]
17,4.71238898038469,3,[0.34534328]
18,4.71238898038469,4,[0.33414183]
19,4.71238898038469,5,[0.3007918]
0,0.0,1,[0.91179872]
1,0.0,2,[0.88998016]
2,0.0,3,[0.89046875]
3,0.0,4,[0.89037928]
4,0.0,5,[0.88973577]
5,0.7853981633974483,1,[0.93731787]
6,0.7853981633974483,2,[0.93731787]
7,0.7853981633974483,3,[0.91094104]
8,0.7853981633974483,4,[0.8974272]
9,0.7853981633974483,5,[0.88823491]
10,1.5707963267948966,1,[0.92271777]
11,1.5707963267948966,2,[0.89699281]
12,1.5707963267948966,3,[0.8930375]
13,1.5707963267948966,4,[0.88882939]
14,1.5707963267948966,5,[0.889469]
15,4.71238898038469,1,[0.92271777]
16,4.71238898038469,2,[0.89699281]
17,4.71238898038469,3,[0.8930375]
18,4.71238898038469,4,[0.88882939]
19,4.71238898038469,5,[0.889469]
0,0.0,1,[0.72918442]
1,0.0,2,[0.69124284]
2,0.0,3,[0.68874709]
3,0.0,4,[0.6907058]
4,0.0,5,[0.69207439]
5,0.7853981633974483,1,[0.76242444]
6,0.7853981633974483,2,[0.76242444]
7,0.7853981633974483,3,[0.71725983]
8,0.7853981633974483,4,[0.69947129]
9,0.7853981633974483,5,[0.68532826]
10,1.5707963267948966,1,[0.7971365]
11,1.5707963267948966,2,[0.72213068]
12,1.5707963267948966,3,[0.69787065]
13,1.5707963267948966,4,[0.68629878]
14,1.5707963267948966,5,[0.67973001]
15,4.71238898038469,1,[0.7971365]
16,4.71238898038469,2,[0.72213068]
17,4.71238898038469,3,[0.69787065]
18,4.71238898038469,4,[0.68629878]
19,4.71238898038469,5,[0.67973001]
0,0.0,1,[0.53200307]
1,0.0,2,[0.42562411]
2,0.0,3,[0.39046925]
3,0.0,4,[0.36407846]
4,0.0,5,[0.34891985]
5,0.7853981633974483,1,[0.46571078]
6,0.7853981633974483,2,[0.46571078]
7,0.7853981633974483,3,[0.39958507]
8,0.7853981633974483,4,[0.37587461]
9,0.7853981633974483,5,[0.34022322]
10,1.5707963267948966,1,[0.50272097]
11,1.5707963267948966,2,[0.43467732]
12,1.5707963267948966,3,[0.40555522]
13,1.5707963267948966,4,[0.38986942]
14,1.5707963267948966,5,[0.37154136]
15,4.71238898038469,1,[0.50272097]
16,4.71238898038469,2,[0.43467732]
17,4.71238898038469,3,[0.40555522]
18,4.71238898038469,4,[0.38986942]
19,4.71238898038469,5,[0.37154136]
0,0.0,1,[0.89329587]
1,0.0,2,[0.86864168]
2,0.0,3,[0.86469706]
3,0.0,4,[0.86453577]
4,0.0,5,[0.86199262]
5,0.7853981633974483,1,[0.91817552]
6,0.7853981633974483,2,[0.91817552]
7,0.7853981633974483,3,[0.88337187]
8,0.7853981633974483,4,[0.86446795]
9,0.7853981633974483,5,[0.85063812]
10,1.5707963267948966,1,[0.90543039]
11,1.5707963267948966,2,[0.87517069]
12,1.5707963267948966,3,[0.86814449]
13,1.5707963267948966,4,[0.86111465]
14,1.5707963267948966,5,[0.85740674]
15,4.71238898038469,1,[0.90543039]
16,4.71238898038469,2,[0.87517069]
17,4.71238898038469,3,[0.86814449]
18,4.71238898038469,4,[0.86111465]
19,4.71238898038469,5,[0.85740674]
0,0.0,1,[0.8003358]
1,0.0,2,[0.77184694]
2,0.0,3,[0.77508374]
3,0.0,4,[0.78349697]
4,0.0,5,[0.78286387]
5,0.7853981633974483,1,[0.83060435]
6,0.7853981633974483,2,[0.83060435]
7,0.7853981633974483,3,[0.79897539]
8,0.7853981633974483,4,[0.78930317]
9,0.7853981633974483,5,[0.78434787]
10,1.5707963267948966,1,[0.85573126]
11,1.5707963267948966,2,[0.79597523]
12,1.5707963267948966,3,[0.78351328]
13,1.5707963267948966,4,[0.78220894]
14,1.5707963267948966,5,[0.77844691]
15,4.71238898038469,1,[0.85573126]
16,4.71238898038469,2,[0.79597523]
17,4.71238898038469,3,[0.78351328]
18,4.71238898038469,4,[0.78220894]
19,4.71238898038469,5,[0.77844691]
0,0.0,1,[0.67575758]
1,0.0,2,[0.64196078]
2,0.0,3,[0.5547623]
3,0.0,4,[0.54114963]
4,0.0,5,[0.51484737]
5,0.7853981633974483,1,[0.60106952]
6,0.7853981633974483,2,[0.60106952]
7,0.7853981633974483,3,[0.4771605]
8,0.7853981633974483,4,[0.39188813]
9,0.7853981633974483,5,[0.36761832]
10,1.5707963267948966,1,[0.68125]
11,1.5707963267948966,2,[0.58921569]
12,1.5707963267948966,3,[0.5315137]
13,1.5707963267948966,4,[0.44319502]
14,1.5707963267948966,5,[0.39408682]
15,4.71238898038469,1,[0.68125]
16,4.71238898038469,2,[0.58921569]
17,4.71238898038469,3,[0.5315137]
18,4.71238898038469,4,[0.44319502]
19,4.71238898038469,5,[0.39408682]
0,0.0,1,[0.92936186]
1,0.0,2,[0.89611503]
2,0.0,3,[0.88637572]
3,0.0,4,[0.87851814]
4,0.0,5,[0.87467469]
5,0.7853981633974483,1,[0.93826028]
6,0.7853981633974483,2,[0.93826028]
7,0.7853981633974483,3,[0.90544902]
8,0.7853981633974483,4,[0.88440901]
9,0.7853981633974483,5,[0.86777615]
10,1.5707963267948966,1,[0.9259623]
11,1.5707963267948966,2,[0.89203879]
12,1.5707963267948966,3,[0.88253404]
13,1.5707963267948966,4,[0.88013597]
14,1.5707963267948966,5,[0.88166185]
15,4.71238898038469,1,[0.9259623]
16,4.71238898038469,2,[0.89203879]
17,4.71238898038469,3,[0.88253404]
18,4.71238898038469,4,[0.88013597]
19,4.71238898038469,5,[0.88166185]
0,0.0,1,[0.79943435]
1,0.0,2,[0.71816421]
2,0.0,3,[0.70933614]
3,0.0,4,[0.71302726]
4,0.0,5,[0.7148123]
5,0.7853981633974483,1,[0.80401514]
6,0.7853981633974483,2,[0.80401514]
7,0.7853981633974483,3,[0.73866729]
8,0.7853981633974483,4,[0.71139819]
9,0.7853981633974483,5,[0.69313486]
10,1.5707963267948966,1,[0.80917291]
11,1.5707963267948966,2,[0.71967321]
12,1.5707963267948966,3,[0.68627606]
13,1.5707963267948966,4,[0.67748063]
14,1.5707963267948966,5,[0.67714835]
15,4.71238898038469,1,[0.80917291]
16,4.71238898038469,2,[0.71967321]
17,4.71238898038469,3,[0.68627606]
18,4.71238898038469,4,[0.67748063]
19,4.71238898038469,5,[0.67714835]
0,0.0,1,[0.385378]
1,0.0,2,[0.3339831]
2,0.0,3,[0.31050728]
3,0.0,4,[0.3254993]
4,0.0,5,[0.31575464]
5,0.7853981633974483,1,[0.35429441]
6,0.7853981633974483,2,[0.35429441]
7,0.7853981633974483,3,[0.34075093]
8,0.7853981633974483,4,[0.33231892]
9,0.7853981633974483,5,[0.33153986]
10,1.5707963267948966,1,[0.40696152]
11,1.5707963267948966,2,[0.33596505]
12,1.5707963267948966,3,[0.31015354]
13,1.5707963267948966,4,[0.30512418]
14,1.5707963267948966,5,[0.29150105]
15,4.71238898038469,1,[0.40696152]
16,4.71238898038469,2,[0.33596505]
17,4.71238898038469,3,[0.31015354]
18,4.71238898038469,4,[0.30512418]
19,4.71238898038469,5,[0.29150105]
0,0.0,1,[0.71236615]
1,0.0,2,[0.67064616]
2,0.0,3,[0.66214898]
3,0.0,4,[0.65760866]
4,0.0,5,[0.65220535]
5,0.7853981633974483,1,[0.72545851]
6,0.7853981633974483,2,[0.72545851]
7,0.7853981633974483,3,[0.66820689]
8,0.7853981633974483,4,[0.64637851]
9,0.7853981633974483,5,[0.63625054]
10,1.5707963267948966,1,[0.73654437]
11,1.5707963267948966,2,[0.67816049]
12,1.5707963267948966,3,[0.66565185]
13,1.5707963267948966,4,[0.65445885]
14,1.5707963267948966,5,[0.64761618]
15,4.71238898038469,1,[0.73654437]
16,4.71238898038469,2,[0.67816049]
17,4.71238898038469,3,[0.66565185]
18,4.71238898038469,4,[0.65445885]
19,4.71238898038469,5,[0.64761618]
0,0.0,1,[0.51649141]
1,0.0,2,[0.459823]
2,0.0,3,[0.4557193]
3,0.0,4,[0.4535543]
4,0.0,5,[0.44499432]
5,0.7853981633974483,1,[0.50030904]
6,0.7853981633974483,2,[0.50030904]
7,0.7853981633974483,3,[0.43923706]
8,0.7853981633974483,4,[0.42167166]
9,0.7853981633974483,5,[0.41102806]
10,1.5707963267948966,1,[0.56513151]
11,1.5707963267948966,2,[0.45541888]
12,1.5707963267948966,3,[0.42939318]
13,1.5707963267948966,4,[0.41751882]
14,1.5707963267948966,5,[0.40808527]
