,angle,distance,energy
17,4.71238898038469,3,[0.16846503]
18,4.71238898038469,4,[0.15873901]
19,4.71238898038469,5,[0.15207273]
0,0.0,1,[0.70580944]
1,0.0,2,[0.69992395]
2,0.0,3,[0.69678639]
3,0.0,4,[0.69381901]
4,0.0,5,[0.6908653]
5,0.7853981633974483,1,[0.70410931]
6,0.7853981633974483,2,[0.70410931]
7,0.7853981633974483,3,[0.69546072]
8,0.7853981633974483,4,[0.68892724]
9,0.7853981633974483,5,[0.68274565]
10,1.5707963267948966,1,[0.70864675]
11,1.5707963267948966,2,[0.70127961]
12,1.5707963267948966,3,[0.69690395]
13,1.5707963267948966,4,[0.69367019]
14,1.5707963267948966,5,[0.69064401]
15,4.71238898038469,1,[0.70864675]
16,4.71238898038469,2,[0.70127961]
17,4.71238898038469,3,[0.69690395]
18,4.71238898038469,4,[0.69367019]
19,4.71238898038469,5,[0.69064401]
0,0.0,1,[0.45817827]
1,0.0,2,[0.43016712]
2,0.0,3,[0.42707018]
3,0.0,4,[0.42274992]
4,0.0,5,[0.41933486]
5,0.7853981633974483,1,[0.45562199]
6,0.7853981633974483,2,[0.45562199]
7,0.7853981633974483,3,[0.4232023]
8,0.7853981633974483,4,[0.41182201]
9,0.7853981633974483,5,[0.40527389]
10,1.5707963267948966,1,[0.49177375]
11,1.5707963267948966,2,[0.44354125]
12,1.5707963267948966,3,[0.42149868]
13,1.5707963267948966,4,[0.41235442]
14,1.5707963267948966,5,[0.40769763]
15,4.71238898038469,1,[0.49177375]
16,4.71238898038469,2,[0.44354125]
17,4.71238898038469,3,[0.42149868]
18,4.71238898038469,4,[0.41235442]
19,4.71238898038469,5,[0.40769763]
0,0.0,1,[0.14673786]
1,0.0,2,[0.12376369]
2,0.0,3,[0.11174265]
3,0.0,4,[0.10653394]
4,0.0,5,[0.10646302]
5,0.7853981633974483,1,[0.12637267]
6,0.7853981633974483,2,[0.12637267]
7,0.7853981633974483,3,[0.11601853]
8,0.7853981633974483,4,[0.110795]
9,0.7853981633974483,5,[0.10441456]
10,1.5707963267948966,1,[0.13264746]
11,1.5707963267948966,2,[0.11683514]
12,1.5707963267948966,3,[0.111928]
13,1.5707963267948966,4,[0.11097219]
14,1.5707963267948966,5,[0.11438488]
15,4.71238898038469,1,[0.13264746]
16,4.71238898038469,2,[0.11683514]
17,4.71238898038469,3,[0.111928]
18,4.71238898038469,4,[0.11097219]
19,4.71238898038469,5,[0.11438488]
0,0.0,1,[0.29211885]
1,0.0,2,[0.27770323]
2,0.0,3,[0.27762558]
